Quarter,Date,Cash Ratio,Revenue,Gross Margin,Inventory to Cash Days,Basic EPS
Q3 2008,09/30/2008,0,0,0,0,4.1
Q4 2008,12/31/2008,6.883211,2.878573,61.584952,0,1.22
Q1 2009,03/31/2009,8.143829,-3.366378,61.853189,0,4.51
Q2 2009,06/30/2009,9.667353,0.252442,61.832151,0,4.7
Q3 2009,09/30/2009,9.473097,7.640085,62.551795,0,5.18
Q4 2009,12/31/2009,8.911763,12.262275,63.912749,0,6.22
Q1 2010,03/31/2010,9.073922,1.515997,63.808118,0,6.15
Q2 2010,06/30/2010,5.230381,0.664207,63.826979,0,5.78
Q3 2010,09/30/2010,3.913247,6.832845,64.973923,0,6.8
Q4 2010,12/31/2010,3.4989,15.838595,65.094787,0,7.95
Q1 2011,03/31/2011,3.930026,1.599526,65.760933,0,5.59
Q2 2011,06/30/2011,5.016414,5.259475,64.85708,0,7.77
Q3 2011,09/30/2011,4.788479,7.688899,65.246914,0,8.44
Q4 2011,12/31/2011,5.006844,8.888889,65.022676,0,8.34
Q1 2012,03/31/2012,5.062205,0.576342,64.405824,0,8.88
Q2 2012,06/30/2012,3.073995,10.915923,60.387905,56.008048,8.54
Q3 2012,09/30/2012,3.167798,12.678919,55.239026,53.005269,6.64
Q4 2012,12/31/2012,3.354119,8.380938,56.91102,53.030761,8.77
Q1 2013,03/31/2013,3.780411,-10.181011,60.342831,49.804512,5.06
Q2 2013,06/30/2013,3.550917,1.20454,60.364691,56.058845,4.85
Q3 2013,09/30/2013,3.90487,4.936294,60.673259,58.175423,4.45
Q4 2013,12/31/2013,3.691036,14.199506,60.189724,62.841388,5.04
Q1 2014,03/31/2014,3.6496,-1.827211,61.342412,56.467766,5.13
Q2 2014,06/30/2014,3.579809,3.46952,61.679724,51.806089,0
Q3 2014,09/30/2014,3.468583,3.560013,59.480724,50.110437,0
Q4 2014,12/31/2014,3.837833,9.562428,61.768768,53.530884,0
Q1 2015,03/31/2015,4.564453,-4.667735,63.170703,46.506439,5.16
Q2 2015,06/30/2015,4.019122,2.71758,62.864557,48.457281,4.99
Q3 2015,09/30/2015,3.942515,5.347775,62.318608,47.63313,5.8
Q4 2015,12/31/2015,3.783843,14.211513,61.610952,54.140673,0
Q1 2016,03/31/2016,4.256051,-5.026021,62.24515,0,6.12
Q2 2016,06/30/2016,4.524537,6.13615,62.186047,0,7.11
Q3 2016,09/30/2016,5.798785,4.423256,61.253396,49.617128,0
Q4 2016,12/31/2016,5.152363,16.092824,59.096839,56.037921,0
Q1 2017,03/31/2017,6.05919,-5.041436,60.424242,47.072076,7.85
Q2 2017,06/30/2017,5.068932,5.090909,60.119185,49.062363,5.09
Q3 2017,09/30/2017,4.839463,6.774318,59.858851,53.344157,9.71
Q4 2017,12/31/2017,4.212505,16.387008,55.861152,57.531876,-4.35
Q1 2018,03/31/2018,4.051548,-3.64137,56.761703,49.606156,13.53
Q2 2018,06/30/2018,3.419523,4.851345,57.48844,49.521089,4.6
Q3 2018,09/30/2018,3.399764,3.316287,57.673385,53.0992,13.21
