Quarter,Date,Gross Margin,Inventory to Cash Days,Revenue,Basic EPS,Cash Ratio
Q2 2009,12/31/2008,76.504901,92.633571,10.410995,0.47,0.873682
Q3 2009,03/31/2009,79.381594,77.841572,-17.926514,0.33,1.063678
Q4 2009,06/30/2009,80.258035,102.946097,-4.022567,0.34,1.163239
Q1 2010,09/30/2009,78.003096,100.658636,-1.366517,0.4,1.277007
Q2 2010,12/31/2009,80.927347,92.8135,47.229102,0.75,1.403811
Q3 2010,03/31/2010,81.00393,74.040075,-23.756703,0.46,1.501135
Q4 2010,06/30/2010,80.235676,92.152019,10.590912,0.52,1.406968
Q1 2011,09/30/2010,80.617475,84.996675,0.972629,0.63,1.708358
Q2 2011,12/31/2010,75.778078,84.910451,23.204693,0.78,1.696775
Q3 2011,03/31/2011,76.278305,69.882132,-17.666516,0.62,2.085933
Q4 2011,06/30/2011,78.649162,97.806275,5.715851,0.7,1.834017
Q1 2012,09/30/2011,78.258117,90.333525,0.02879,0.68,2.247308
Q2 2012,12/31/2011,73.004549,90.883288,20.222197,0.79,2.039018
Q3 2012,03/31/2012,77.29649,79.057055,-16.6531,0.61,2.274704
Q4 2012,06/30/2012,76.947782,102.563909,3.74562,-0.06,1.928536
Q1 2013,09/30/2012,73.963018,90.405345,-11.357218,0.53,2.122285
Q2 2013,12/31/2012,73.47129,100.823372,34.032984,0.76,2.140771
Q3 2013,03/31/2013,76.636244,89.500903,-4.506898,0.72,2.33277
Q4 2013,06/30/2013,71.843587,105.699213,-2.894236,0.59,2.058476
Q1 2014,09/30/2013,72.232716,83.838169,-6.870728,0.63,2.330012
Q2 2014,12/31/2013,66.213957,91.22499,32.327703,0.79,2.487819
Q3 2014,03/31/2014,70.700387,85.38582,-16.786982,0.68,2.608176
Q4 2014,06/30/2014,67.517749,108.904038,14.600794,0.56,1.878553
Q1 2015,09/30/2014,64.342054,82.5073,-0.7741,0.55,1.995637
Q2 2015,12/31/2014,61.707594,83.636183,14.08991,0.71,1.903385
Q3 2015,03/31/2015,67.044043,74.067654,-17.910842,0.61,2.342152
Q4 2015,06/30/2015,66.330027,103.76317,2.075567,-0.4,1.944246
Q1 2016,09/30/2015,65.533238,88.352599,-5.725879,0.63,2.011276
Q2 2016,12/31/2015,60.907615,89.556925,20.769967,0.75,2.40696
Q3 2016,03/31/2016,64.112097,78.144661,-14.794282,0.55,2.379763
Q4 2016,06/30/2016,66.009202,106.148119,9.095134,0.67,2.1325
Q1 2017,09/30/2016,64.228384,87.476841,-6.58601,0.73,2.621461
Q2 2017,12/31/2016,61.662666,87.162801,17.776359,0.81,1.916686
Q3 2017,03/31/2017,65.276581,72.485687,-10.121583,0.71,2.42319
Q4 2017,06/30/2017,66.9752,104.996256,10.309323,1.05,2.385523
Q1 2018,09/30/2017,66.264569,84.907933,-4.167155,0.85,2.682767
Q2 2018,12/31/2017,61.740093,82.924678,17.849866,-0.82,2.457529
Q3 2018,03/31/2018,65.438682,71.86886,-7.258455,0.96,2.867145
Q4 2018,06/30/2018,67.618414,103.929809,12.177934,1.15,2.287102
Q1 2019,09/30/2018,65.943474,81.900967,-3.327239,1.15,2.414485
