Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2005-09-30,,,,,
2005-10-03,,,,,
2005-10-04,,,,,
2005-10-05,,,,,
2005-10-06,,,,,
2005-10-07,,,,,
2005-10-10,,,,,
2005-10-11,,,,,
2005-10-12,,,,,
2005-10-13,,,,,
2005-10-14,,,,,
2005-10-17,,,18.40071067,,
2005-10-18,,,18.32888142,,
2005-10-19,,37.78602722,18.30349283,,49.41173564
2005-10-20,,33.63825508,18.29172858,,36.48655405
2005-10-21,,33.50606815,18.29854,,46.49135657
2005-10-24,,41.42883779,18.32145075,,96.59101885
2005-10-25,,40.29772956,18.34869625,,88.636578
2005-10-26,,42.23882746,18.38894575,,79.62972222
2005-10-27,,37.92350837,18.41619108,,55.55555556
2005-10-28,,51.79464131,18.4923545,,94.81488889
2005-10-31,,54.53036983,18.5610885,,93.46417873
2005-11-01,,58.4167319,18.6409675,,92.34967213
2005-11-02,,64.67086493,18.76047658,,98.05820294
2005-11-03,,64.25450473,18.87627075,,90.90917355
2005-11-04,,66.78711022,18.97348883,18.66888008,97.78765291
2005-11-07,,70.38228274,19.11095467,18.70546173,97.28682171
2005-11-08,,70.77167837,19.25151725,18.74975962,95.01911877
2005-11-09,,68.58671847,19.36669233,18.80634681,91.57084291
2005-11-10,142.65098559999998,70.0261912,19.49425133,18.87550865,96.4
2005-11-11,154.0428449,72.04272275,19.62862167,18.94838588,95.70320145
2005-11-14,141.5592615,72.97032216,19.78466458,19.02783635,97.29729834
2005-11-15,133.69748729999998,75.05620214,19.91164317,19.11702169,98.51297453
2005-11-16,136.532297,77.21972659,20.04299875,19.21451485,94.96406294
2005-11-17,136.2992276,79.09138511,20.17253917,19.32174423,98.79996
2005-11-18,133.5948678,79.86597158,20.27732858,19.42355212,93.1818156
2005-11-21,122.3969363,80.56377925,20.3889455,19.52565308,96.12068966
2005-11-22,107.3063507,72.99514558,20.47141367,19.62458915,83.0
2005-11-23,98.67072671,73.10407246,20.53283092,19.72266919,81.66665648
2005-11-25,82.3406113,68.35657146,20.5818345,19.80130192,69.56523629
2005-11-28,77.1350233,68.05894603,20.63578958,19.88822112,68.94411867
2005-11-29,72.15825778,65.89719164,20.67734817,19.97342012,64.59629528
2005-11-30,68.72084431,65.89719164,20.70714142,20.04947388,64.59629528
2005-12-01,78.72108115,69.29116475,20.74440383,20.13354754,67.85708227
2005-12-02,79.30672711,71.06327476,20.77607617,20.21877419,77.14283537
2005-12-05,69.7878815,65.62558727,20.78290783,20.30684565,60.0
2005-12-06,59.75990536,60.62864411,20.76551817,20.37089669,30.86423563
2005-12-07,48.815577600000005,61.80316296,20.7456445,20.43180873,35.89751808
2005-12-08,47.76789466,59.87944212,20.7164555,20.48357062,28.20534845
2005-12-09,47.29399179,60.32301649,20.70403517,20.52161619,31.16879069
2005-12-12,18.3837766,52.24187183,20.67484667,20.55278115,15.58454545
2005-12-13,-32.96116997,44.36421629,20.63572158,20.56848627,11.81809091
2005-12-14,-64.73265527,43.48153258,20.5947335,20.57304212,19.2
2005-12-15,-91.81561799,39.85275999,20.54753508,20.57158219,8.527202692000001
2005-12-16,-102.951228,39.4358523,20.49909483,20.57212119,6.976816297
2005-12-19,-134.9219918,37.93933375,20.43326458,20.56693827,12.4137931
2005-12-20,-129.273689,39.00762812,20.36184567,20.55718527,14.48282759
2005-12-21,-127.33708670000001,36.10784007,20.29228975,20.54113419,5.517241379
2005-12-22,-152.57041719999998,33.24166843,20.22397683,20.51505069,10.625
2005-12-23,-148.5386015,35.21917174,20.15504225,20.48352112,14.6666
2005-12-27,-133.0394738,31.59101665,20.07865617,20.44024,2.836808511
2005-12-28,-137.3500636,30.28438742,19.99668008,20.39208612,2.702635135
2005-12-29,-137.2720201,28.13577923,19.92339767,20.33791292,0.636942675
2005-12-30,-141.5472921,26.13877403,19.86253617,20.28746588,3.03030303
2006-01-03,-81.07620899999999,48.6899691,19.84701033,20.25650954,55.63909774
